,H_IMDB,H_IMDA,H_CTL,M_IMDA,M_IMDB,M_CTL,R_IMDA,R_IMDB,R_CTL
LOC100742554,2.641343084,2.637758402,2.764676295,3.549239292,2.419936859,3.741763253,3.216156703,3.246987924,2.993131178
LOC100742555,0.034233471,0,0,0,0,0,0,0.132651208,0
LOC100742556,5.201648657,6.429222219,9.72588745,8.888629589,5.991903718,8.668661587,7.811474932,6.033528192,7.571032501
LOC100742559,247.3477844,268.5497867,272.4013079,284.6633315,266.1511974,291.3760858,299.2910936,285.8082468,278.888649
LOC100742560,10.78201521,9.774339063,12.12850126,8.665965739,7.434059959,7.238079459,6.20219193,6.584474863,9.297125117
LOC100742561,0.18428769,0.217317011,0.194996517,0.271955016,0.230327133,0.252530038,0.222746496,0.216218332,0.261793988
LOC100742562,33.66530498,35.48333943,32.5325478,34.41170029,36.23390156,34.59821502,35.13152533,34.97462171,35.37506039
LOC100742563,81.01596373,75.21700775,64.59177344,62.4764036,66.07611615,56.41468585,64.60470352,60.57587542,67.55280401
LOC100742564,14.28832175,16.74205566,16.84555782,16.21898505,16.5615421,16.46620046,16.41238714,17.72496452,16.1451859
LOC100742565,4.408258834,3.595745547,2.947212914,2.758999362,2.982475574,2.447865508,3.540600797,3.078666625,3.770021354
LOC100742567,0.638072351,0.845067979,1.916124117,0.740759262,0.273471377,0.29801377,0.546885001,0.230462635,0.764664464
LOC100742569,2.300621261,1.696124829,1.757584704,1.769591937,1.583930054,1.632793377,1.854326693,1.83833737,2.031379238
LOC100742571,33.49512929,37.35645914,36.00740279,37.37678687,38.9352391,38.29742074,37.58251658,38.53158249,37.92463928
LOC100742572,22.19384605,22.02062768,22.39040356,20.54368068,21.63821314,20.15897797,19.41121067,19.04896618,21.80767883
LOC100742573,0.011454116,0.018174539,0.102750384,0.086585884,0.108011201,0.080723461,0.050712261,0.05828019,0
LOC100742575,3.989249162,5.172258369,10.18407042,4.090545216,1.298457187,1.24586122,2.551287886,0.978816944,4.563882861
LOC100742576,0.485615968,0.469290317,0.256083423,0.437220957,0.462647827,0.359462796,0.515161258,0.529728955,0.39855655
